id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HN6EG6MAHZCQM53A08KXSS0Y,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:51:36.074748888Z,true,2024-01-27T21:51:36.09657812Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:51:36.074748888Z,running,2024-01-27T21:51:39.224329932Z
01HN6EGMP9Y4KX068AP6S2RS4B,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:51:50.473661756Z,true,2024-01-27T21:51:50.506514929Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:51:50.473661756Z,running,2024-01-27T21:51:54.692300953Z
01HN6EGNTS7PF6JHNSKJ2DK71J,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:51:51.641480965Z,true,2024-01-27T21:51:51.671881495Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:51:51.641480965Z,running,2024-01-27T21:51:56.625534866Z
01HN6FPES7361MBY9T9Z2G0TDX,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:12:29.607501636Z,true,2024-01-27T22:12:29.715548553Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:12:29.607501636Z,running,2024-01-27T22:12:31.173929958Z
01HN6G0G7B2TZV6XK2HWEH4T98,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:17:58.763514008Z,true,2024-01-27T22:17:58.944914895Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:17:58.763514008Z,running,2024-01-27T22:18:04.778724438Z
01HN6G0HFQQ6ZG3M9P0458M7Q6,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:18:00.055548684Z,true,2024-01-27T22:18:00.170798739Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:18:00.055548684Z,running,2024-01-27T22:18:03.155921491Z
01HN6G0Q3CREDFVAFSTMF11MXV,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:18:05.80456575Z,true,2024-01-27T22:18:06.003537892Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:18:05.80456575Z,running,2024-01-27T22:18:06.923072597Z
01HN6G0S6WR54GHNGHQX63W51J,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:18:07.964186308Z,true,2024-01-27T22:18:08.123832235Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:18:07.964186308Z,running,2024-01-27T22:18:09.021510211Z
01HN6G4NDHDPGE56A6YCV543KG,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:20:15.153963331Z,true,2024-01-27T22:20:15.493750553Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:20:15.153963331Z,running,2024-01-27T22:20:23.491372546Z
01HN6G4QZH0SW22ZRTHHE4XE6R,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:20:17.777578927Z,true,2024-01-27T22:20:18.745939339Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:20:17.777578927Z,running,2024-01-27T22:20:20.967268095Z
01HN6G4RH2KEFD54XJTM92JE2B,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T22:20:18.338682608Z,true,2024-01-27T22:20:19.352761506Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T22:20:18.338682608Z,running,2024-01-27T22:20:19.827007032Z
