id,participantID,participantIDLastChangedAt,treatment,treatmentLastChangedAt,introDone,introDoneLastChangedAt,role,roleLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,exitSurvey,exitSurveyLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,gameID,gameIDLastChangedAt,roomCode,roomCodeLastChangedAt,urlParams,urlParamsLastChangedAt
01HN6E8KVG91E04V61E1XM1E1K,01HN6E8KP2C47YSD7RWCKXDY1R,2024-01-27T21:47:27.472654407Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:47:59.901479143Z,true,2024-01-27T21:49:32.214518247Z,guesser,2024-01-27T21:49:32.296900166Z,2,2024-01-27T21:48:02.736233186Z,,,,,614e6f9a7f6198ef0fb95caa,2024-01-27T21:47:27.472654407Z,,,01HN6C8APJN0MXE37DM1MEW6JY,2024-01-27T21:47:59.901479143Z,wbb-xicv-vzo,2024-01-27T21:49:32.296900166Z,{},2024-01-27T21:47:27.575565271Z
01HN6E9HH570ERHCZ8HB9YBVEQ,01HN6E9HCSES5B80XGGDAGNXQG,2024-01-27T21:47:57.86142499Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:47:59.901479143Z,true,2024-01-27T21:48:56.086881726Z,director,2024-01-27T21:49:32.296900166Z,2,2024-01-27T21:48:27.679677072Z,,,,,63d40b7d3c7f92ff15ef6b67,2024-01-27T21:47:57.86142499Z,,,01HN6C8APJN0MXE37DM1MEW6JY,2024-01-27T21:47:59.901479143Z,wbb-xicv-vzo,2024-01-27T21:49:32.296900166Z,{},2024-01-27T21:47:57.92528606Z
01HN6ECW9PMKWVVE4BPMX2RFDF,01HN6ECW1KYCCE0EFYG4TAVM1X,2024-01-27T21:49:47.190723735Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:33:01.510544451Z,,,,,,,,,,,62e8268cd4320680eaea5ac8,2024-01-27T21:49:47.190723735Z,,,01HN6G4NPH9NXRNVR2063SDZ0D,2024-01-27T22:33:01.510544451Z,,,{},2024-01-27T21:49:47.309733766Z
01HN6EHT45PW7H14SR8MPDERM8,01HN6EHT0EAKEKVJF1BPK5S7QB,2024-01-27T21:52:28.805207506Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:33:01.510544451Z,,,,,1,2024-01-27T21:52:34.912229099Z,,,,,64135db83e4afcf2f3190e0b,2024-01-27T21:52:28.805207506Z,,,01HN6G4NPH9NXRNVR2063SDZ0D,2024-01-27T22:33:01.510544451Z,,,{},2024-01-27T21:52:28.871063836Z
01HN6EMCK60MFZT5NG8E7KFZS4,01HN6EMC5MF33TW5SA35SZHHSK,2024-01-27T21:53:53.254440416Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:53:53.278839732Z,true,2024-01-27T21:54:51.012343121Z,director,2024-01-27T21:58:36.579692155Z,2,2024-01-27T21:54:28.266951167Z,,,,,6400e3b780aff05b3f3f9b1d,2024-01-27T21:53:53.254440416Z,,,01HN6C89DV0FFCX3B5R95CKZ1N,2024-01-27T21:53:53.278839732Z,npi-gtmd-gvr,2024-01-27T21:58:36.579692155Z,,
01HN6EMWB88MAM27QSFNJRDHG6,01HN6EMVNP2WRYGDTGESMCMHGY,2024-01-27T21:54:09.384567089Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:33:01.510544451Z,,,,,1,2024-01-27T21:54:23.927261994Z,,,,,62eab49b3494af2a6cb7348d,2024-01-27T21:54:09.384567089Z,,,01HN6G4NPH9NXRNVR2063SDZ0D,2024-01-27T22:33:01.510544451Z,,,{},2024-01-27T21:54:09.70846604Z
01HN6EPHB5W116MBFBGWR4AVG3,01HN6EPGSDJ1VKEY13302C4KBY,2024-01-27T21:55:03.653398828Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:58:36.475518291Z,true,2024-01-27T22:01:37.962477967Z,guesser,2024-01-27T22:05:02.392486662Z,2,2024-01-27T21:55:53.019256342Z,,,,,5fb219d125498577f2aa3a6d,2024-01-27T21:55:03.653398828Z,,,01HN6C8B3G2DM06JVA3B4NE9T9,2024-01-27T21:58:36.475518291Z,xcl-fosw-hhv,2024-01-27T22:05:02.392486662Z,{},2024-01-27T21:55:03.830356733Z
01HN6EVMF14DBA19T36J7ME1VX,01HN6EVKT9HZ7RDDVGZTW2XD6V,2024-01-27T21:57:50.689960228Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:57:50.715564017Z,true,2024-01-27T21:58:36.439888478Z,guesser,2024-01-27T21:58:36.579692155Z,2,2024-01-27T21:58:20.121426505Z,,,,,600cb9f465eb1c40307723a8,2024-01-27T21:57:50.689960228Z,,,01HN6C89DV0FFCX3B5R95CKZ1N,2024-01-27T21:57:50.715564017Z,npi-gtmd-gvr,2024-01-27T21:58:36.579692155Z,{},2024-01-27T21:57:50.88927174Z
01HN6F69J1JYPF1PECJXCSNHK9,01HN6F696CHSNY73WG4HBY8TRN,2024-01-27T22:03:39.96949058Z,,,,,,,2,2024-01-27T22:04:38.098850169Z,game ended,2024-01-27T22:17:32.215376009Z,,,64d50a995a3627ba7ebeccb7,2024-01-27T22:03:39.96949058Z,true,2024-01-27T22:19:49.061963072Z,01HN6C8BGFFPXYNEXBJ7SXB5H1,2024-01-27T22:05:02.287690532Z,,,,
01HN6F73KZ64KQCYG9DWHP60XZ,,,,,true,2024-01-27T22:05:02.240512498Z,,,2,2024-01-27T22:04:43.723987041Z,,,,,,,,,01HN6C8B3G2DM06JVA3B4NE9T9,2024-01-27T22:04:06.708296226Z,,,{},2024-01-27T22:04:06.81016661Z
01HN6F76A40ECVPF87F028YDG4,,,,,true,2024-01-27T22:05:15.281716061Z,,,2,2024-01-27T22:04:57.519776093Z,game ended,2024-01-27T22:17:32.215376009Z,,,65ae859020c024a27e4fe092,2024-01-27T22:04:09.412216744Z,true,2024-01-27T22:17:57.224962932Z,01HN6C8BGFFPXYNEXBJ7SXB5H1,2024-01-27T22:05:02.287690532Z,gby-ybyn-dql,2024-01-27T22:05:22.799559404Z,{},2024-01-27T22:04:09.617767351Z
01HN6F8QPQDKJENVWJ1DCH1KY0,01HN6F8QB8F8AZBZ3H8RG4EYT2,2024-01-27T22:04:59.991264285Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:05:22.691455136Z,true,2024-01-27T22:06:32.477858427Z,director,2024-01-27T22:06:32.6437767Z,,,game ended,2024-01-27T22:27:32.165153189Z,"{""age"":""30"",""gender"":""Male"",""nativeLanguage"":""English"",""strength"":""Yes."",""fair"":""Yes."",""feedback"":"""",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T22:28:29.082526829Z,6328ddce9adceb215c2334ee,2024-01-27T22:04:59.991264285Z,true,2024-01-27T22:28:29.152693889Z,01HN6C8BVXBN026JSVP2C73R5K,2024-01-27T22:05:22.691455136Z,nrr-qvux-dfb,2024-01-27T22:06:32.6437767Z,,
01HN6F9VW7WFY11P78Y8C5P6P6,01HN6F9V8Z3AS89R5J74PHYKDT,2024-01-27T22:05:37.031043898Z,,,true,2024-01-27T22:06:31.135468532Z,guesser,2024-01-27T22:06:32.6437767Z,2,2024-01-27T22:06:05.835479951Z,,,"{""age"":""36"",""gender"":""Female"",""nativeLanguage"":""English"",""strength"":""Yes, this was really cool and fun!"",""fair"":""I do. "",""feedback"":""At times, the website was slow to load to the point I thought it might be glitching. It was probably a part of the experiment?"",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T22:29:08.836712282Z,,,true,2024-01-27T22:29:08.697584089Z,01HN6C8BVXBN026JSVP2C73R5K,2024-01-27T22:05:37.059537366Z,,,,
01HN6FBCH5JK7RMWJ9XPS41D8E,01HN6FBCBT57RX2T47V6RBC7MK,2024-01-27T22:06:26.853390461Z,,,true,2024-01-27T22:10:21.156156575Z,guesser,2024-01-27T22:12:46.584607329Z,,,,,,,6500c32aeecc75706e1bcaf1,2024-01-27T22:06:26.853390461Z,,,01HN6EG6N7F355E6Z2YHZKT6T0,2024-01-27T22:09:45.578103794Z,,,{},2024-01-27T22:06:26.956926762Z
01HN6FBE6E4CYP80YDX0WN8WYE,01HN6FBDT7SG7PMDXHC331Q6MV,2024-01-27T22:06:28.558565337Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:06:32.518188462Z,true,2024-01-27T22:07:44.988707172Z,guesser,2024-01-27T22:09:45.743456391Z,,,,,,,,,,,01HN6C8E6H53D3JBHFEK6KPNQ3,2024-01-27T22:06:32.518188462Z,ebj-tjog-faq,2024-01-27T22:09:45.743456391Z,,
01HN6FEJCZPYGD5Y3D5DYN3SWP,01HN6FEJ3HJ75FQKW2HMX9DPPB,2024-01-27T22:08:11.167501761Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:12:46.425390173Z,true,2024-01-27T22:14:35.099087438Z,guesser,2024-01-27T22:14:35.41729369Z,2,2024-01-27T22:12:33.802082684Z,,,,,5bbd74b16f41680001ce5cdf,2024-01-27T22:08:11.167501761Z,,,01HN6EGMQQ6MCZ3CHS9NJJJYFK,2024-01-27T22:12:46.425390173Z,omb-shgg-you,2024-01-27T22:14:35.41729369Z,{},2024-01-27T22:08:11.389383525Z
01HN6FF7GVP19RC0QETS25JQB3,,,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T22:08:32.848843074Z,true,2024-01-27T22:09:45.396740017Z,director,2024-01-27T22:09:45.743456391Z,,,game ended,2024-01-27T22:32:33.5353374Z,"{""age"":""50"",""gender"":""Female"",""nativeLanguage"":""English"",""strength"":""yes"",""fair"":""yes"",""feedback"":""none"",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T22:33:15.524806912Z,,,,,01HN6C8E6H53D3JBHFEK6KPNQ3,2024-01-27T22:08:32.848843074Z,ebj-tjog-faq,2024-01-27T22:09:45.743456391Z,{},2024-01-27T22:08:33.012744911Z
